file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc51207829.mseed,XQ.ME50.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:36:58.380,0.9,U,E
nc51207829.mseed,XQ.ME57.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:02.900,0.952,U,E
nc72239881.mseed,BK.WDC.00.HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:59.780,0.845,D,E
nc72239881.mseed,BK.GASB.00.HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:50:02.980,0.946,U,E
nc72239881.mseed,BK.JCC.00.HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:42.400,0.934,U,I
nc72239881.mseed,NC.GRO..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:50:01.900,0.924,U,E
nc72239881.mseed,NC.GTC..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:58.030,0.774,D,E
nc72239881.mseed,NC.GVV..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:50:02.770,0.91,U,E
nc72239881.mseed,NC.KCO..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:43.610,0.857,U,E
nc72239881.mseed,NC.KBS.02.EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:52.930,0.92,U,I
nc72239881.mseed,NC.KCPB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:55.140,0.859,U,E
nc72239881.mseed,NC.KCR.02.EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:46.740,0.872,D,E
nc72239881.mseed,NC.KFP..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:56.490,0.846,U,E
nc72239881.mseed,NC.KIP..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:54.940,0.9,U,E
nc72239881.mseed,NC.KHMB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:46.170,0.945,U,E
nc72239881.mseed,NC.KKP..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:52.770,0.855,U,E
nc72239881.mseed,NC.KHBB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:51.900,0.941,U,I
nc72239881.mseed,NC.KRK..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:59.420,0.788,U,E
nc72239881.mseed,NC.KRMB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:46.720,0.838,D,E
nc72239881.mseed,NC.KRMB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:46.720,0.838,D,E
nc72239881.mseed,NC.KSM.02.EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:45.020,0.915,U,E
nc72239881.mseed,NC.LBK..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:58.200,0.837,U,E
nc72239881.mseed,NC.KSXB..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:50.200,0.879,D,E
nc72239881.mseed,NC.LPG..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:50:00.370,0.814,U,E
nc72239881.mseed,NC.LGP..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:55.930,0.813,D,E
nc72239881.mseed,NC.LVR..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:50:00.890,0.917,D,E
nc72239881.mseed,PB.B046..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:42.820,0.941,D,I
nc72239881.mseed,PB.B049..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:47.930,0.935,U,E
nc72239881.mseed,PB.B932..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:43.670,0.755,U,E
nc72239881.mseed,PB.B933..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:47.970,0.935,D,E
nc72239881.mseed,PB.B935..EHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:48.840,0.927,D,E
nc72239881.mseed,TA.M02C..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:56.910,0.953,D,I
nc72239881.mseed,TA.O02D..HHZ,2014-06-18 19:48:59.710,P,2014-06-18 19:49:59.260,0.831,U,E
