event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
71338081,2010:01:10T00:48:38.61,40.666666666666664,-124.58333333333333,23.44,3.32,231.0,70.0,160.0,15.0,-180.0,0.09,51,,13,33,10,0
71338081,2010:01:10T00:48:38.61,40.666666666666664,-124.58333333333333,23.44,3.32,231.0,155.0,245.0,20.0,0.0,0.1,51,,10,43,25,1
71338111,2010:01:10T00:57:20.18,40.71666666666667,-124.43333333333334,16.83,2.63,220.0,80.0,170.0,40.0,-130.0,0.26,41,,23,15,45,0
71338111,2010:01:10T00:57:20.18,40.71666666666667,-124.43333333333334,16.83,2.63,220.0,280.0,190.0,50.0,-80.0,0.28,41,,35,13,50,1
71338141,2010:01:10T01:25:39.93,40.7,-124.46666666666667,16.56,2.64,232.0,175.0,265.0,65.0,50.0,0.07,26,,20,23,40,0
71338156,2010:01:10T01:48:47.12,40.68333333333333,-124.6,21.85,2.96,216.0,120.0,210.0,30.0,-30.0,0.21,41,,18,3,40,0
71338156,2010:01:10T01:48:47.12,40.68333333333333,-124.6,21.85,2.96,216.0,70.0,160.0,80.0,150.0,0.24,41,,20,35,25,1
71338171,2010:01:10T02:21:39.24,40.6,-124.76666666666667,20.38,4.41,218.0,255.0,165.0,20.0,-130.0,0.0,47,,25,38,25,0
71338186,2010:01:10T02:32:49.47,40.35,-124.66666666666667,20.47,2.79,234.0,205.0,115.0,75.0,-120.0,0.09,38,,20,5,0,0
71338186,2010:01:10T02:32:49.47,40.35,-124.66666666666667,20.47,2.79,234.0,170.0,260.0,30.0,80.0,0.16,38,,15,10,15,1
71338196,2010:01:10T03:07: 1.84,40.61666666666667,-124.68333333333334,25.16,3.97,235.0,50.0,140.0,90.0,100.0,0.02,48,,10,0,80,0
71338196,2010:01:10T03:07: 1.84,40.61666666666667,-124.68333333333334,25.16,3.97,235.0,135.0,225.0,55.0,-10.0,0.02,48,,10,45,25,1
71338206,2010:01:10T03:10:46.52,40.7,-124.46666666666667,20.15,2.95,218.0,145.0,235.0,65.0,30.0,0.15,44,,10,20,30,0
71338291,2010:01:10T06:04:18.23,40.68333333333333,-124.55,24.29,2.86,226.0,140.0,230.0,90.0,90.0,0.0,35,,20,0,25,0
71338291,2010:01:10T06:04:18.23,40.68333333333333,-124.55,24.29,2.86,226.0,280.0,190.0,80.0,-100.0,0.31,35,,25,23,20,1
71338296,2010:01:10T06:05:57.87,40.68333333333333,-124.73333333333333,24.43,2.7,224.0,235.0,145.0,55.0,130.0,0.05,30,,13,40,15,0
71338296,2010:01:10T06:05:57.87,40.68333333333333,-124.73333333333333,24.43,2.7,224.0,60.0,150.0,20.0,150.0,0.05,30,,30,45,25,1
71338301,2010:01:10T06:32:17.02,40.3,-124.61666666666666,16.52,4.12,232.0,220.0,130.0,15.0,-60.0,0.03,65,,20,20,20,0
71338301,2010:01:10T06:32:17.02,40.3,-124.61666666666666,16.52,4.12,232.0,265.0,175.0,50.0,-40.0,0.03,65,,23,25,30,1
71338406,2010:01:10T11:48:31.73,40.63333333333333,-124.65,23.3,3.91,234.0,310.0,220.0,85.0,-60.0,0.01,48,,10,8,65,0
71338406,2010:01:10T11:48:31.73,40.63333333333333,-124.65,23.3,3.91,234.0,215.0,125.0,80.0,130.0,0.01,48,,10,20,35,1
71338411,2010:01:10T12:05:26.93,40.63333333333333,-124.66666666666667,23.89,2.83,221.0,90.0,180.0,90.0,90.0,0.14,32,,30,0,75,0
71338851,2010:01:11T06:44:37.89,40.45,-124.83333333333333,23.56,4.05,228.0,230.0,140.0,80.0,-120.0,0.11,45,,13,30,35,0
71338851,2010:01:11T06:44:37.89,40.45,-124.83333333333333,23.56,4.05,228.0,60.0,150.0,50.0,-140.0,0.14,45,,23,23,20,1
71339896,2010:01:13T17:36:27.97,40.65,-124.68333333333334,24.51,3.33,235.0,145.0,235.0,80.0,10.0,0.1,44,,13,53,55,0
71339896,2010:01:13T17:36:27.97,40.65,-124.68333333333334,24.51,3.33,235.0,235.0,145.0,75.0,170.0,0.1,44,,10,45,40,1
71340591,2010:01:15T07:03:24.75,40.61666666666667,-124.36666666666666,13.38,2.62,218.0,160.0,250.0,45.0,-130.0,0.2,34,,20,13,5,0
71340591,2010:01:15T07:03:24.75,40.61666666666667,-124.36666666666666,13.38,2.62,218.0,300.0,210.0,60.0,-60.0,0.19,34,,13,18,10,1
71345216,2010:01:28T13:44:15.80,40.71666666666667,-124.51666666666667,17.38,2.67,233.0,125.0,215.0,40.0,-60.0,0.09,28,,20,18,50,0
71345216,2010:01:28T13:44:15.80,40.71666666666667,-124.51666666666667,17.38,2.67,233.0,75.0,165.0,90.0,160.0,0.14,28,,13,35,20,0
71345216,2010:01:28T13:44:15.80,40.71666666666667,-124.51666666666667,17.38,2.67,233.0,280.0,190.0,30.0,-160.0,0.18,28,,28,23,15,1
71348851,2010:02:04T20:20:21.97,40.4,-124.95,23.05,5.88,233.0,215.0,125.0,75.0,-110.0,0.02,39,,28,35,50,0
71349501,2010:02:06T03:32:22.69,40.36666666666667,-125.0,9.02,3.32,235.0,120.0,210.0,85.0,-10.0,0.03,40,,10,35,15,0
71349501,2010:02:06T03:32:22.69,40.36666666666667,-125.0,9.02,3.32,235.0,195.0,105.0,60.0,-140.0,0.02,40,,15,30,40,0
71349501,2010:02:06T03:32:22.69,40.36666666666667,-125.0,9.02,3.32,235.0,85.0,175.0,55.0,-140.0,0.04,40,,8,5,10,1
